Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Good News of God,
Philemon 1:8	Therefore, though I have all boldness in Christ to command you that which is appropriate,
Philemon 1:9	yet for love’s sake I rather beg, being such a one as Paul, the aged, but also a prisoner of Jesus Christ.
Philemon 1:10	I beg you for my child, whom I have become the father of in my chains, Onesimus,
Philemon 1:11	who once was useless to you, but now is useful to you and to me.
Philemon 1:12	I am sending him back. Therefore receive him, that is, my own heart,
Philemon 1:13	whom I desired to keep with me, that on your behalf he might serve me in my chains for the Good News.
Philemon 1:14	But I was willing to do nothing without your consent, that your goodness would not be as of necessity, but of free will.
Philemon 1:15	For perhaps he was therefore separated from you for a while, that you would have him forever,
Philemon 1:16	no longer as a slave, but more than a slave, a beloved brother, especially to me, but how much rather to you, both in the flesh and in the Lord.
Philemon 1:17	If then you count me a partner, receive him as you would receive me.
Philemon 1:18	But if he has wronged you at all, or owes you anything, put that to my account.
Philemon 1:19	I, Paul, write this with my own hand: I will repay it (not to mention to you that you owe to me even your own self besides).
Philemon 1:20	Yes, brother, let me have joy from you in the Lord. Refresh my heart in the Lord.
Philemon 1:21	Having confidence in your obedience, I write to you, knowing that you will do even beyond what I say.
Philemon 1:22	Also, prepare a guest room for me, for I hope that through your prayers I will be restored to you.
Philemon 1:23	Epaphras, my fellow prisoner in Christ Jesus, greets you,
Philemon 1:24	as do Mark, Aristarchus, Demas, and Luke, my fellow workers.
Philemon 1:25	The grace of our Lord Jesus Christ be with your spirit. Amen.
Hebrews 1:1	God, having in the past spoken to the fathers through the prophets at many times and in various ways,
Hebrews 1:2	has at the end of these days spoken to us by his Son, whom he appointed heir of all things, through whom also he made the worlds.
Hebrews 1:3	His Son is the radiance of his glory, the very image of his substance, and upholding all things by the word of his power, when he had by himself made purification for our sins, sat down on the right hand of the Majesty on high;
Hebrews 1:4	having become so much better than the angels, as he has inherited a more excellent name than they have.
Hebrews 1:5	For to which of the angels did he say at any time, “You are my Son. Today have I become your father?” and again, “I will be to him a Father, and he will be to me a Son?”
Hebrews 1:6	Again, when he brings in the firstborn into the world he says, “Let all the angels of God worship him.”
Hebrews 1:7	Of the angels he says, “Who makes his angels winds, and his servants a flame of fire.”
Hebrews 1:8	But of the Son he says, “Your throne, O God, is forever and ever. The scepter of uprightness is the scepter of your Kingdom.
Hebrews 1:9	You have loved righteousness, and hated iniquity; therefore God, your God, has anointed you with the oil of gladness above your fellows.”
Hebrews 1:10	And, “You, Lord, in the beginning, laid the foundation of the earth. The heavens are the works of your hands.
Hebrews 1:11	They will perish, but you continue. They all will grow old like a garment does.
Hebrews 1:12	As a mantle, you will roll them up, and they will be changed; but you are the same. Your years will not fail.”
Hebrews 1:13	But which of the angels has he told at any time, “Sit at my right hand, until I make your enemies the footstool of your feet?”
Hebrews 1:14	Aren’t they all serving spirits, sent out to do service for the sake of those who will inherit salvation?
Hebrews 2:1	Therefore we ought to pay greater attention to the things that were heard, lest perhaps we drift away.
Hebrews 2:2	For if the word spoken through angels proved steadfast, and every transgression and disobedience received a just recompense;
Hebrews 2:3	how will we escape if we neglect so great a salvation—which at the first having been spoken through the Lord, was confirmed to us by those who heard;
Hebrews 2:4	God also testifying with them, both by signs and wonders, by various works of power, and by gifts of the Holy Spirit, according to his own will?
Hebrews 2:5	For he didn’t subject the world to come, of which we speak, to angels.
Hebrews 2:6	But one has somewhere testified, saying, “What is man, that you think of him? Or the son of man, that you care for him?
Hebrews 2:7	You made him a little lower than the angels. You crowned him with glory and honor.
Hebrews 2:8	You have put all things in subjection under his feet.” For in that he subjected all things to him, he left nothing that is not subject to him. But now we don’t see all things subjected to him, yet.
Hebrews 2:9	But we see him who has been made a little lower than the angels, Jesus, because of the suffering of death crowned with glory and honor, that by the grace of God he should taste of death for everyone.
Hebrews 2:10	For it became him, for whom are all things, and through whom are all things, in bringing many children to glory, to make the author of their salvation perfect through sufferings.
Hebrews 2:11	For both he who sanctifies and those who are sanctified are all from one, for which cause he is not ashamed to call them brothers,
Hebrews 2:12	saying, “I will declare your name to my brothers. In the midst of the congregation I will sing your praise.”
Hebrews 2:13	Again, “I will put my trust in him.” Again, “Behold, here I am with the children whom God has given me.”
Hebrews 2:14	Since then the children have shared in flesh and blood, he also himself in the same way partook of the same, that through death he might bring to nothing him who had the power of death, that is, the devil,
Hebrews 2:15	and might deliver all of them who through fear of death were all their lifetime subject to bondage.
Hebrews 2:16	For most certainly, he doesn’t give help to angels, but he gives help to the seed of Abraham.
Hebrews 2:17	Therefore he was obligated in all things to be made like his brothers, that he might become a merciful and faithful high priest in things pertaining to God, to make atonement for the sins of the people.
Hebrews 2:18	For in that he himself has suffered being tempted, he is able to help those who are tempted.
Hebrews 3:1	Therefore, holy brothers, partakers of a heavenly calling, consider the Apostle and High Priest of our confession, Jesus;
Hebrews 3:2	who was faithful to him who appointed him, as also was Moses in all his house.
Hebrews 3:3	For he has been counted worthy of more glory than Moses, inasmuch as he who built the house has more honor than the house.
Hebrews 3:4	For every house is built by someone; but he who built all things is God.
Hebrews 3:5	Moses indeed was faithful in all his house as a servant, for a testimony of those things which were afterward to be spoken,
Hebrews 3:6	but Christ is faithful as a Son over his house; whose house we are, if we hold fast our confidence and the glorying of our hope firm to the end.
Hebrews 3:7	Therefore, even as the Holy Spirit says, “Today if you will hear his voice,
Hebrews 3:8	don’t harden your hearts, as in the rebellion, like as in the day of the trial in the wilderness,
Hebrews 3:9	where your fathers tested me by proving me, and saw my works for forty years.
Hebrews 3:10	Therefore I was displeased with that generation, and said, ‘They always err in their heart, but they didn’t know my ways;’
Hebrews 3:11	as I swore in my wrath, ‘They will not enter into my rest.’”
Hebrews 3:12	Beware, brothers, lest perhaps there be in any one of you an evil heart of unbelief, in falling away from the living God;
